RNG Hexa,RNG Index,Instant mash ?,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10
00000001,000,YES = 0,Elastoid / Jelleye / Snake / Buel,Malboro / Snake / Mask / Mantis,Biggs / Jelleye / Elnoyle / Snake,XX,XX,XX,Glacial / Mantis / Grat /Robot,XX,Jelleye / Biggs / Buel / Grendel,XX
00000001,999,YES = 0,Name01, Name02, Name03,XX,XX,XX,XX,XX,XX,XX
d5343fb9,200,YES = 0,Beast / Chimeira / Giant / Jelleye,Robot / Creeps / Beast / Chimera,Jelleye / Unicorn / Buel / Robot,Buel / Elnoyle / Chimera / Ruby,Mask / Glacial / Biggs / Grat,Grendel / Elnoyle / Mask / Beast,Grat / Glacial / Elastoid / Buel,Elastoid / King / Snake / Malboro,Elnoyle / Glacial / Malboro / Grendel,Giant / King / Creeps / Grat
a1cc6c26,201,NO = 37,Snake / Grendel / Chimera / Giant,King / Mask / Robot / Unicorn,Beast / Jelleye / Elastoid / Robot,Robot / Bird / Elnoyle / Malboro,King / Jelleye / Snake / Biggs,Beast / Elastoid / Ruby / Buel,Bird / Mantis / Creeps / Mask,Jelleye / Elastoid / Elnoyle / Snake,Grat / Biggs / Jelleye / Chimera,Mask / Bird / Mantis / Grat
5e56886f,202,NO = 97,Grat / Mantis&Robot / Jelleye,Mask / Elastoid / Creeps / Buel,Elnoyle / Mantis / Ruby / Glacial,Giant / Robot / Elnoyle / Snake,Elastoid / Grat / Jelleye / Grendel,Elnoyle / Robot / Biggs / Grat,Grat / Mantis&Grendel / King,Glacial / Malboro / Giant / Robot,Creeps / Buel / Beast / Elnoyle,Mantis / Snake / Unicorn / Biggs
78a7e3e4,203,NO = 104,Grendel / Beast / Biggs / Glacial,Grat / Ruby / Mantis / Bird,Mask / Unicorn / Giant / Ruby,Creeps / Elnoyle / Beast / Biggs,Biggs / Unicorn / Beast / Glacial,Elnoyle / Chimera / Elastoid / Grendel,Ruby / Glacial / Mask / Malboro,Biggs / King / Mask / Elnoyle,Glacial / Robot / Giant / Bird,Bird / King / Snake / Chimera
08e81195,204,YES = 0,Robot / Giant / Buel / Unicorn,King / Snake / Chimera / Mask,Buel / Beast / Glacial / Creeps,Bird / Snake / Jelleye / Grat,Jelleye / Buel / Elastoid / Creeps,Grat / Ruby / Bird / Buel,Mask / Buel / Malboro / Robot,Elnoyle / Ruby / Snake / Unicorn,Giant / Unicorn / Elnoyle / Biggs,Elastoid / Elnoyle / Chimera / Glacial
fc4fa552,205,NO = 129,Chimera / Biggs / Mask / Ruby,Robot / Bird / Snake / Jelleye,King / Biggs / Glacial / Jelleye,Chimera / Robot / Elastoid / Grat,Mask / Grat / Bird / Unicorn,Grendel / Robot / Malboro / Bird,Buel / Grat / Malboro / Creeps,Mask / Malboro / Grendel / Mantis,Elnoyle / Buel / Beast / Mantis,Beast / Malboro / Jelleye / King
bc7e8cab,206,YES = 0,Grat / Snake / Elnoyle / Buel,Glacial / Beast / Grendel / Mask,Creeps / Jelleye / Snake / Chimera,Biggs / Buel / Elnoyle / Ruby,Ruby / Grat / Giant / Mantis,Ruby / Unicorn / Giant / Chimera,Biggs / Ruby / Chimera / Robot,Glacial / Unicorn / Ruby / Biggs,Snake / Elnoyle / King / Elastoid,Jelleye / Glacial / Beast / Giant
eb2653f0,207,NO = 123,Beast / Glacial / Mantis / Ruby,Robot / Jelleye / Elastoid / Unicorn,Ruby / Elastoid / Bird / Mask,Giant / Mantis / malboro / Creeps,Mask / Elastoid / Snake / Jelleye,Creeps / Mantis / Grendel / Grat,Grat / Robot / Elnoyle / Giant,Mask / Mantis / Jelleye / Robot,Ruby / Robot / King / Elnoyle,Biggs / Grat / Malboro / Creeps
93e46731,208,YES = 0,Malboro / Unicorn / Ruby / Elnoyle,Biggs / Elnoyle / Grendel / Giant,Glacial / Elnoyle / Chimera / Unicorn,Bird / Elnoyle / Biggs / Robot,Jelleye / Glacial / Mantis / Ruby,XX,XX,XX,XX,XX
6e551f3e,209,YES = 0,Elastoid / Grat / Bird / Glacial,Ruby / Robot / Snake / Bird,Giant / Grat / Malboro / Grendel,Elastoid / Malboro / Grendel / Biggs,Creeps / Grat / Elnoyle / Beast,Grat / Malboro / Jelleye / Elastoid,Mask / Beast / Mantis / Malboro,Snake / Creeps / Giant / King,Mantis / Beast / Grat / Giant,Creeps / Beast / Malboro / Bird
cbfe2aa7,210,YES = 0,Beast / Buel / Glacial / Jelleye,Robot / Ruby / Mask / Grat,Jelleye / Unicorn / Robot / Glacial,Buel / Elnoyle / Snake / Bird,Bird / Unicorn / Malboro / Creeps,Jelleye / Elnoyle / Grendel / Mantis,Beast / Glacial / Grendel / Buel,Elastoid / Elnoyle / King / Mask,Elnoyle / Glacial / Jelleye / Snake,Giant / Jelleye / Grendel / Grat
6d59a2bc,211,NO = 37,Grendel / Beast / Mask / Malboro,Buel / Creeps / Robot / Elnoyle,Mask / Unicorn / Malboro / Giant,Grendel / Ruby / Creeps / Chimera,Beast / Unicorn / Ruby / Elastoid,Elnoyle / Jelleye / Ruby / Beast,Ruby / Glacial / Jelleye / Elnoyle,Biggs / Elnoyle / Buel / Chimera,Glacial / Grat / Elnoyle / Bird,Creeps / King / Beast / Bird
c0c6dc8d,212,NO = 30,Creeps / Mask / Snake / Elastoid,Giant / Biggs / Snake / Creeps,Elastoid / Bird / Ruby / Jelleye,Malboro / Biggs / Creeps / Buel,Biggs / Bird / King / Glacial,Glacial / Giant / Jelleye / Snake,Snake / Mantis / Grendel / Unicorn,Mantis / Giant / Mask / Beast,Unicorn / Snake / Buel / Jelleye,Snake / Beast / Mask / Bird
54fec5ea,213,NO = 101,Beast / Creeps / Unicorn / Grat,Mask / Chimera / Glacial / Grat,Grendel / Creeps / Glacial / Bird,Buel / Chimera / Elnoyle / King,Mask / Grendel / Bird / Biggs,Elnoyle / Bird / Beast / Glacial,Giant / Grendel / Malboro / Elastoid,Creeps / Malboro / Glacial / Mask,Ruby / Jelleye / Elnoyle / King,Giant / Mask / Elnoyle / Beast
c5fb5e63,214,NO = 34,Mantis / Biggs / Snake / Buel,Chimera / Bird / Biggs / Grendel,Malboro / Giant / Grat / Mantis,Biggs / Bird / Beast / Unicorn,Chimera / Giant / Mask / Glacial,Malboro / Snake / Unicorn / Creeps,Mantis / Beast / Jelleye Mask,Buel / Snake / Mask / Beast,Bird / Beast / Snake / Giant, Jelleye / Creeps / Robot / Grat
ac789c48,215,NO = 85,Bird / Robot / Elnoyle / Giant ,Malboro / Giant / Biggs / Beast,Mantis / Snake / Beast / Elastoid,Glacial / Beast / Elnoyle / Elastoid,Snake / Grendel / Malboro / Chimera,Mantis / Beast / Jelleye / King,Unicorn / Creeps / Biggs / Giant,Robot / Beast / Grat / Unicorn,King / Creeps / Giant / Bird,Chimera / Unicorn / Creeps / Biggs
d8cccda9,216,NO = 109,Bird / Mask / Glacial / Creeps,Jelleye / Biggs / Mantis / Grendel,Unicorn / Robot / Elastoid / Buel,Robot / Mantis / Mask / King,King / Robot / Malboro / Snake,Beast / Grat / Snake / Grendel,Elastoid / Malboro / Ruby / Grat,Grendel / Grat / Elnoyle / Unicorn,Grat / Malboro / Jelleye / Robot,Mask / Buel / King / Ruby
d01b4556,217,NO = 95,Creeps / Unicorn / Elastoid / Snake,Mantis / Elnoyle / Robot / Mask,Chimera / Glacial / Bird / Creeps,Malboro / Elnoyle / Ruby / King,Biggs / Glacial / Creeps / Giant,Chimera / King / Elnoyle / Jelleye,Snake / Glacial / King / Robot,Mantis / King / Elnoyle / Elastoid,Buel / Elastoid / Biggs / Bird,Bird / Mantis / Grat / Beast
4db1e3df,218,YES = 1,Buel / Elastoid / Glacial / Creeps,Bird / Mantis / Robot / Jelleye,Jelleye / Robot / Grat / Creeps,Grat / Snake / Glacial / King,Elastoid / Robot / Ruby / Bird,Elnoyle / Grat / Grendel / Biggs,Giant / Malboro / Grendel / Biggs,Elastoid / Grat / King / Beast,Grendel / Snake / Mantis / Elastoid,Grat / Beast / Giant / Malboro
23e4cc94,219,NO = 44,King / Mantis / Giant / Buel,Chimera / Robot / Grat / Glacial,Malboro / Mantis / Beast / Snake,Jelleye / Robot / Buel / Grendel,Buel / Grat / Glacial / Mantis,Bird / Malboro / Unicorn / Jelleye,Grendel / Giant / Mask / Mantis,Beast / Snake / Robot / Creeps,Robot / Beast / Malboro / Jelleye,Elnoyle / Creeps / Snake / Giant
292f5685,220,NO = 72,Jelleye / Buel / Beast / Chimera,Buel / Ruby / Elastoid / Robot,Mask / Unicorn / Ruby / Beast,Elnoyle / Ruby / King / Malboro,Beast / Unicorn / Mask / Giant,Elastoid / Grendel / Elnoyle / Chimera,Elnoyle / Malboro / Robot / Chimera,Grat / Grendel / Snake / King,Glacial / Ruby / Mantis / King,Creeps / Jelleye / Buel / Biggs
b8d20982,221,NO = 60,Chimera / Robot / Glacial / Giant,Robot / Mantis / Chimera / Grendel,Elnoyle / Robot / Mask / Unicorn,Buel / Grat / Robot / Ruby,Mask / Malboro / Snake / Biggs,Grendel / Giant / Snake / Beast,Buel / Snake / Ruby / Bird,Elastoid / Beast / Grendel / Snake,Elnoyle / Snake / King / Grendel,Giant / Beast / King / Grat
b42f371b,222,NO = 121,Glacial / Creeps / Grat / King,Snake / King / Ruby / Unicorn,Mantis / Glacial / Grendel / Bird,Unicorn / King / Creeps / Snake,Snake / Mask / Biggs / Jelleye,Biggs / King / Mantis / Buel,Chimera / Mask / Giant / Glacial,Malboro / Biggs / Buel / Creeps,King / Robot / Chimera / Elnoyle,Beast / Mantis / Chimera / Biggs
e6b67fa0,223,NO = 128,Giant / Mantis / Robot / Unicorn,Elastoid / Creeps / Robot / Mask,Ruby / Biggs / Elnoyle / Glacial,Grat / Bird / Elnoyle / Biggs,Mask / Giant / Grendel / Beast,Creeps / Bird / Biggs / Elastoid,Mantis / Giant / Malboro / Mask,Snake / Grat / Jelleye / Grendel,Malboro / Giant / Beast / Grat,Biggs / Snake / Unicorn / Beast
843f5321,224,NO = 44,Elastoid / Grat / Unicorn / Giant,Elnoyle / Grendel / Beast / Mask,Buel / Unicorn / Creeps / Beast,Glacial / Jelleye / Elnoyle / Unicorn,Creeps / Giant / Chimera / Beast,Grat / Jelleye / Mask / Elnoyle,Elastoid / Robot / Glacial / Jelleye,Ruby / Mantis / Snake / Elnoyle,Giant / Elastoid / Snake / Biggs,Mantis / Elnoyle / Chimera / Snake
710f3e6e,225,NO = 83,King / Mantis / Ruby / Unicorn,Buel / Robot / Elnoyle / Mask,Bird / Mantis / Grendel / Creeps,Grendel / Robot / King / Jelleye,Buel / Grat / Mantis / Snake,Bird / Robot / Biggs / Buel,Ruby / Grat / Giant / Robot,Giant / Malboro / Buel / Elnoyle,Elastoid / Beast / Chimera / Biggs,Ruby / Snake / Unicorn / Chimera
8dce9417,226,NO = 20,Elnoyle / Bird / Beast / Unicorn,Beast / Glacial / Robot / Jelleye,Mask / King / Ruby / Malboro,Creeps / Glacial / Grendel / Jelleye,Grat / King / Elnoyle / Bird,Glacial / Mask / Grendel / Unicorn,Creeps / Biggs / Mantis / Mask,Giant / Mask / Biggs / Creeps,Biggs / Grat / Jelleye / Creeps,Ruby / Bird / Beast / Buel
a008c16c,227,NO = 80,Glacial / Grendel / Unicorn / Elastoid,Snake / Beast / Creeps / Grat,Biggs / Grendel / Mask / Jelleye,Chimera / Elastoid / Grat / Mantis,Malboro / Jelleye / Snake / Unicorn,Biggs / Snake / Bird / Chimera,Unicorn / Jelleye / Ruby / Creeps,Snake / Creeps / Mantis / Robot,Jelleye / King / Buel / Biggs,Buel / Glacial / King / Elastoid
5a415f7d,228,YES = 0,Mask / Bird / Glacial / Beast,Elnoyle / Grat / Snake / Biggs,Biggs / Malboro / Elastoid / Robot,Grat / Bird / Elnoyle / Mask,Ruby / Malboro / Biggs / Mantis,Biggs / Buel / Snake / Unicorn,Glacial / Malboro / Elnoyle / Mask,Creeps / Buel / Elnoyle / Snake,Mantis / Ruby / Jelleye / Buel,Unicorn / King / Grat / Creeps
f7afd01a,229,NO = 92,Mask / Elnoyle / Biggs / Grendel,Grendel / Glacial / Mantis / Giant,Buel / Elnoyle / Giant / Unicorn,Mask / Glacial / Buel / Biggs,Elnoyle / King / Chimera / Snake,Beast / Glacial / Chimera / Jelleye,King / Glacial / Grat / Grendel,Ruby / Mask / Elastoid / Glacia,Grat / Mantis / Bird / Jelleye,Glacial / Elastoid / Bird / Grendel
1574f6d3,230,YES = 0,Robot / Elnoyle / Snake / Bird,King / Glacial / Creeps / Grendel,Beast / Elnoyle / Ruby / Biggs,Elastoid / Glacial / Jelleye / Beast,Grendel / King / Elastoid / Mask,Buel / Mask / Mantis / Malboro,Mask / King / Mantis / Bird,Grendel / Mask / Beast / Giant,Beast / Mantis / Buel / Chimera,Elastoid / Chimera / Robot / Ruby
16055df8,231,NO = 57,Buel / Elastoid / Chimera / Mask,Mask / Jelleye / Unicorn / Creeps,Grendel / Elastoid / Jelleye / Mantis,Buel / Mantis / Elastoid / Snake,Elastoid / Bird / Glacial / Grat,Ruby / Mantis / Robot / Bird,Giant / Bird / Creeps / Elnoyle,Giant / Creeps / Biggs / Grendel,Creeps / Bird / Elnoyle / Chimera,Grat / Giant / Grendel / Elastoid
4609d799,232,YES = 0,Creeps / Beast / Giant / Grat,Giant / Snake / Buel / Glacia,Elastoid / Beast / Bird / Mask,Ruby / Creeps / Mantis / Buel,Giant / Chimera / Glacial / Mantis,Mask / Creeps / Elastoid / Buel,Creeps / Chimera / Mask / Snake,Mantis / Elnoyle / Malboro / Snake,Unicorn / Malboro / Elnoyle / Creeps,Snake / Elnoyle / Creeps / Giant
6d6d6a86,233,NO = 77,Glacial / Bird / Biggs / Mask,Creeps / Giant / Glacial / Snake,Mantis / Snake / Buel / Jelleye,Giant / Chimera / Buel / Mask,Malboro / Snake / Unicorn / Glacial,King / Beast / Elastoid / Snake,Chimera / Ruby / Elastoid / Grendel,Bird / Buel / Biggs / Creeps,Jelleye / Ruby / Robot / Chimera,Unicorn / Creeps / Elastoid / Grendel
998d1b4f,234,NO = 104,Unicorn / Malboro / Grat / Biggs,Bird / Grat / Beast / Robot,Elnoyle / Malboro / Beast / Giant,Beast / Buel / Unicorn / Malboro,Elastoid / Malboro / Elnoyle / Beast,Elnoyle / Buel / Giant / Ruby,Buel / Ruby / Bird / Chimera,Mask / Unicorn / Robot / Elastoid,Grendel / Creeps / Snake / Ruby,Grat / Chimera / Ruby / Jelleye
3bb0e144,235,NO = 35,Elnoyle / Buel / Snake / Chimera,Biggs / Malboro / Snake / Elastoid,Glacial / Buel / Ruby / Elastoid,Creeps / Ruby / Grendel / King,Mantis / Chimera / King / Giant,Glacial / Creeps / Jelleye / Beast,Ruby / Chimera / Mantis / Robot,Biggs / Grendel / Giant / Elnoyle,Chimera / Grat / Biggs / Elnoyle,Malboro / Grendel / Beast / Unicorn
a958d775,236,NO = 72,Bird / Elastoid / Elnoyle / Ruby,Creeps / Mantis / Elnoyle / Biggs,Giant / Robot / Jelleye / Beast,Elastoid / Grat / Biggs / Chimera,Ruby / Robot / Grat / Malboro,Giant / Grat / Jelleye / Elastoid,Mask / Malboro / Beast / Grat,Creeps / Grat / Unicorn / Glacial,Mantis / Malboro / Bird / Giant,Unicorn / Buel / Glacial / Creeps
f68a79b2,237,NO = 63,Grat / Chimera / Malboro / King,Glacial / Grendel / Malboro / Grat,Snake / Chimera / Creeps / Unicorn,Mantis / Grendel / Elnoyle / Bird,Chimera / Jelleye / Creeps / Beast,Malboro / Jelleye / King / Mantis,Biggs / Buel / Mask / Creeps,Chimera / King / Grat / Glacial,Malboro / Mask / Beast / Snake,Jelleye / King / Buel / Grendel
eec37d8b,238,NO = 75,Mantis / Grat / King / Robot,Unicorn / Robot / King / Elnoyle,Malboro / Grat / Mantis / Giant,King / Malboro / Biggs / Unicorn,Beast / Buel / Mask / Biggs,Robot / Malboro / Buel / Snake,Jelleye / Buel / Chimera / Elnoyle,Buel / Ruby / Glacial / Grat,Bird / Beast / Elastoid / Glacial,Grendel / Creeps / Mask / Bird
9d769750,239,NO = 60,Malboro / Creeps / Jelleye / Elastoid,King / Unicorn / Ruby / Mask,Chimera / Elnoyle / Mantis / King,Malboro / Unicorn / Giant / Bird,Jelleye / Elnoyle / Beast / Mantis,Unicorn / Glacial / Buel / Robot,Bird / Elnoyle / Grat / Beast,Grendel / Glacial / Biggs / Creeps,Beast / King / Elastoid / Glacial,Robot / Mask / Elastoid / Bird
b4f63b11,240,NO = 83,Bird / Giant / Robot / Biggs,Jelleye / Bird / Creeps / Beast,Beast / Giant / Creeps / Chimera,Elastoid / Snake / Elnoyle / Malboro,Ruby / Giant / Jelleye / Elnoyle,Giant / Snake / Biggs / Malboro,Mask / Beast / Mantis / Chimera,Creeps / Ruby / Buel / Elastoid,Grat / Buel / Beast / Ruby,Mask / Ruby / Unicorn / Biggs
a53e299e,241,NO = 72,Elastoid / Mask / Giant / Malboro,Elnoyle / Biggs / Grat / Unicorn,Giant / Bird / Beast / Jelleye,Elastoid / Biggs / Unicorn / Chimera,Grendel / Bird / Glacial / Jelleye,Mantis / Giant / Creeps / Bird,Glacial / Bird / Mask / Jelleye,Creeps / Biggs / Robot / Buel,Biggs / Bird / Malboro / Glacial,Giant / Snake / Creeps / Bird
a4825987,242,YES = 0,King / Giant / Unicorn / Bird,Chimera / Snake / Grendel / Giant,Robot / Beast / Mask / Mantis,King / Snake / Elastoid / Unicorn,Buel / Beast / Snake / Elastoid,Mask / Creeps / Snake / Ruby,Grendel / Beast / Ruby / King,Grat / Creeps / Giant / Glacial,Mask / Chimera / King / Grendel,Elnoyle / Grendel / King / Robot
b4748c1c,243,YES = 0,Mantis / Glacial / Buel / Robot,Glacial / King / Beast / Jelleye,Creeps / Mask / Bird / Malboro,King / Robot / Grendel / Chimera,Chimera / Mask / Malboro / Biggs,Malboro / Biggs / Snake / Chimera,King / Mask / Elnoyle / Elastoid,Unicorn / Biggs / Grendel / Malboro,Snake / Bird / Jelleye / King,Jelleye / Giant / Biggs / Mask
f88d9e6d,244,NO = 66,Buel / Grat / Grendel / Ruby,Mask / Robot / Biggs / King,Grendel / Grat / Mantis / Buel,Giant / Malboro / Glacial / Mantis,Buel / Giant / Bird / King,Ruby / Snake / Unicorn / Grendel,Biggs / Beast / Chimera / Mantis,Creeps / Glacial / Unicorn / Grat,Creeps / Beast / Elastoid / Mask,Mantis / Creeps / Robot / Snake
